Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobSatisfaction,RelationshipSatisfaction,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,35.0,Travel_Rarely,Research & Development,25,3,Technical Degree,2,1,13,10.0,4,8
No,37.0,Travel_Frequently,Sales,21,2,Medical,4,2,5,4.0,0,0
No,53.0,Travel_Rarely,Research & Development,23,4,Life Sciences,4,3,12,9.0,3,8
No,,Travel_Frequently,Research & Development,1,3,Life Sciences,4,2,5,2.0,2,2
No,47.0,Travel_Rarely,Sales,2,2,Marketing,4,1,7,6.0,7,7
No,37.0,Non-Travel,Sales,19,2,Medical,2,4,10,0.0,0,9
No,50.0,Non-Travel,Research & Development,2,4,Life Sciences,1,4,31,6.0,14,7
No,39.0,,Human Resources,2,3,Life Sciences,4,3,5,4.0,0,4
No,33.0,Travel_Rarely,Human Resources,3,2,Human Resources,2,3,4,3.0,0,3
Yes,32.0,Travel_Rarely,Research & Development,25,4,Life Sciences,4,3,1,0.0,0,1
No,29.0,Travel_Rarely,Research & Development,7,1,Medical,4,3,4,3.0,0,3
No,44.0,Travel_Rarely,Research & Development,9,2,Life Sciences,1,4,8,,7,1
No,28.0,Travel_Rarely,Sales,5,4,Medical,4,2,4,2.0,0,2
Yes,58.0,,Research & Development,2,1,Life Sciences,4,4,1,0.0,0,0
No,43.0,Travel_Rarely,Research & Development,8,3,Life Sciences,2,3,1,0.0,0,0
Yes,20.0,Travel_Rarely,Sales,2,3,Medical,3,4,2,2.0,0,2
Yes,21.0,,Research & Development,18,1,Other,4,1,1,0.0,0,0
No,,Travel_Rarely,Research & Development,14,1,Life Sciences,4,1,16,8.0,4,11
No,47.0,Travel_Rarely,Sales,2,4,Life Sciences,4,1,3,2.0,1,2
Yes,22.0,Travel_Rarely,Research & Development,3,1,Life Sciences,3,1,3,2.0,0,2
Yes,41.0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,3,7,7.0,1,0
No,28.0,Travel_Rarely,Research & Development,9,3,Medical,3,2,2,2.0,2,2
Yes,39.0,Travel_Rarely,Research & Development,6,3,Medical,1,4,2,2.0,2,2
No,27.0,Travel_Rarely,Research & Development,4,3,Life Sciences,3,3,1,1.0,0,0
No,,Travel_Rarely,Research & Development,10,3,Life Sciences,2,2,1,0.0,1,0
No,42.0,Travel_Rarely,Sales,14,2,Medical,3,1,5,4.0,0,3
No,33.0,Travel_Rarely,Research & Development,1,4,Other,1,2,3,2.0,0,2
No,58.0,Travel_Rarely,Research & Development,5,3,Technical Degree,2,4,6,0.0,0,4
No,31.0,Travel_Rarely,Sales,7,4,Life Sciences,3,2,7,7.0,5,2
No,35.0,Travel_Rarely,Research & Development,21,1,Life Sciences,4,4,10,6.0,0,7
No,49.0,Travel_Rarely,Research & Development,8,2,Other,2,3,26,9.0,1,7
No,48.0,Travel_Rarely,Research & Development,20,4,Medical,3,1,0,0.0,0,0
No,31.0,Non-Travel,Sales,20,2,Marketing,3,4,9,8.0,0,0
No,,Travel_Rarely,Research & Development,7,4,Other,4,3,6,2.0,0,1
No,38.0,Travel_Rarely,Research & Development,1,3,Technical Degree,1,2,15,12.0,5,11
No,32.0,Non-Travel,Research & Development,1,3,Life Sciences,2,3,3,0.0,0,2
Yes,25.0,Travel_Rarely,Sales,19,2,Marketing,2,3,1,0.0,0,0
No,40.0,Travel_Rarely,Sales,10,4,Marketing,2,2,1,0.0,0,0
No,26.0,Travel_Frequently,Sales,1,3,Medical,1,2,7,7.0,0,7
No,41.0,Travel_Rarely,Research & Development,6,3,Medical,1,3,18,13.0,2,17
No,36.0,Travel_Rarely,Research & Development,2,4,Medical,3,3,11,8.0,3,9
Yes,19.0,Travel_Rarely,Sales,21,3,Other,2,2,1,,0,0
Yes,20.0,Travel_Rarely,Research & Development,4,3,Technical Degree,1,2,1,0.0,0,0
No,31.0,Travel_Rarely,Research & Development,12,3,Medical,4,3,9,7.0,8,5
No,40.0,Travel_Frequently,Research & Development,9,4,Medical,2,4,1,1.0,0,0
No,32.0,Travel_Rarely,Research & Development,3,4,Medical,1,3,8,7.0,6,3
Yes,,Travel_Rarely,Sales,3,1,Life Sciences,4,1,16,7.0,3,7
No,33.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,1,5,0.0,1,4
Yes,37.0,Travel_Rarely,Sales,1,4,Life Sciences,3,3,14,,11,7
No,45.0,Non-Travel,Research & Development,4,2,Life Sciences,2,2,9,7.0,0,8
No,29.0,Travel_Frequently,Sales,20,3,Technical Degree,4,2,3,1.0,0,2
No,35.0,Travel_Rarely,Sales,18,3,Medical,3,2,5,2.0,1,0
No,52.0,Travel_Rarely,Research & Development,1,2,Life Sciences,4,2,9,8.0,7,8
Yes,58.0,Travel_Rarely,Research & Development,2,3,Technical Degree,3,1,1,0.0,0,0
No,53.0,Travel_Rarely,Sales,2,2,Medical,3,3,17,13.0,15,2
No,30.0,Travel_Rarely,Sales,8,2,Other,3,1,8,4.0,7,7
No,38.0,Non-Travel,Sales,10,3,Technical Degree,4,2,5,3.0,1,3
No,35.0,Travel_Rarely,Sales,3,4,Life Sciences,4,2,10,9.0,0,8
No,39.0,,Sales,2,5,Life Sciences,3,4,8,7.0,0,7
Yes,40.0,Non-Travel,Sales,24,3,Life Sciences,2,4,1,0.0,0,0
No,47.0,Travel_Frequently,Research & Development,16,4,Medical,3,3,19,10.0,2,7
No,36.0,Non-Travel,Sales,8,4,Technical Degree,4,4,7,,0,7
Yes,31.0,Non-Travel,Research & Development,9,2,Medical,1,1,3,2.0,1,2
No,33.0,,Sales,17,3,Life Sciences,3,4,10,8.0,6,0
Yes,29.0,Travel_Rarely,Research & Development,10,3,Life Sciences,1,3,0,0.0,0,0
No,33.0,Travel_Rarely,Research & Development,13,1,Life Sciences,4,1,3,2.0,0,2
No,45.0,Travel_Rarely,Research & Development,1,4,Medical,4,4,5,3.0,0,2
No,,Travel_Rarely,Research & Development,1,2,Medical,4,3,5,4.0,1,3
No,33.0,Travel_Frequently,Research & Development,1,4,Other,2,1,6,5.0,1,2
No,41.0,Travel_Frequently,Research & Development,9,3,Medical,3,2,18,16.0,0,11
No,27.0,Travel_Rarely,Research & Development,16,4,Technical Degree,2,2,2,2.0,2,2
No,45.0,Non-Travel,Research & Development,23,2,Life Sciences,1,3,9,8.0,0,8
No,47.0,Travel_Rarely,Sales,4,2,Life Sciences,4,3,9,0.0,0,7
Yes,30.0,Travel_Rarely,Research & Development,22,3,Life Sciences,3,2,5,2.0,0,1
No,50.0,Travel_Rarely,Research & Development,24,3,Life Sciences,3,4,12,11.0,1,5
No,38.0,Travel_Frequently,Research & Development,10,1,Medical,3,2,2,1.0,0,2
No,46.0,Travel_Rarely,Research & Development,7,2,Medical,3,2,8,7.0,0,7
No,24.0,,Research & Development,17,1,Medical,3,2,4,2.0,3,2
Yes,,Travel_Rarely,Research & Development,14,4,Other,2,4,4,2.0,0,2
No,31.0,Travel_Frequently,Research & Development,1,1,Life Sciences,1,3,4,3.0,0,3
No,18.0,Non-Travel,Research & Development,5,2,Life Sciences,4,4,0,0.0,0,0
No,54.0,Travel_Rarely,Research & Development,17,3,Technical Degree,3,3,10,7.0,0,8
No,35.0,Travel_Rarely,Research & Development,25,4,Medical,3,3,16,10.0,10,1
No,30.0,Travel_Rarely,Research & Development,8,2,Life Sciences,1,3,8,7.0,1,7
Yes,,Travel_Rarely,Research & Development,11,3,Medical,1,1,1,0.0,0,0
Yes,,Travel_Frequently,Research & Development,5,3,Medical,2,1,3,2.0,1,2
No,26.0,Travel_Rarely,Research & Development,2,2,Medical,4,2,8,,1,3
No,22.0,Travel_Rarely,Research & Development,8,1,Life Sciences,1,1,4,3.0,1,1
No,48.0,,Research & Development,6,3,Life Sciences,3,4,2,2.0,2,2
No,48.0,Travel_Rarely,Research & Development,4,4,Life Sciences,3,2,15,11.0,4,8
No,,Travel_Rarely,Research & Development,7,2,Medical,3,2,2,2.0,2,1
No,39.0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,3,21,6.0,11,8
No,27.0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,2,3,2.0,2,2
No,35.0,Travel_Rarely,Research & Development,10,3,Other,4,1,3,2.0,1,2
No,42.0,Travel_Rarely,Sales,5,2,Marketing,3,2,1,0.0,0,0
No,50.0,Travel_Rarely,Research & Development,9,3,Life Sciences,4,2,1,0.0,0,0
No,59.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,1,5,3.0,4,3
Yes,37.0,Travel_Rarely,Research & Development,11,2,Medical,2,1,1,0.0,0,0
No,,Travel_Frequently,Research & Development,18,4,Medical,2,4,8,,6,7
No,41.0,Non-Travel,Research & Development,7,1,Life Sciences,3,2,21,16.0,5,10
No,38.0,Travel_Rarely,Sales,3,4,Life Sciences,4,3,1,0.0,0,0
Yes,26.0,Non-Travel,Sales,29,2,Medical,1,4,2,2.0,2,2
Yes,52.0,Travel_Rarely,Sales,2,1,Marketing,4,4,32,14.0,6,9
No,44.0,Travel_Rarely,Sales,28,3,Medical,4,3,12,11.0,11,11
No,50.0,Non-Travel,Sales,1,3,Life Sciences,3,1,18,7.0,0,13
Yes,36.0,,Research & Development,16,4,Life Sciences,1,3,17,13.0,15,14
No,39.0,Travel_Frequently,Research & Development,22,3,Medical,1,3,21,6.0,2,8
No,33.0,,Sales,8,1,Life Sciences,4,4,2,,2,2
No,45.0,Travel_Rarely,Sales,11,2,Life Sciences,4,2,9,3.0,1,1
No,32.0,,Research & Development,29,4,Medical,3,2,8,7.0,7,7
No,34.0,Travel_Rarely,Sales,1,4,Marketing,4,4,15,1.0,0,9
No,59.0,Travel_Rarely,Sales,1,2,Technical Degree,4,3,6,4.0,0,4
No,45.0,Travel_Rarely,Human Resources,24,4,Medical,2,1,6,3.0,0,4
No,53.0,Travel_Frequently,Sales,2,3,Marketing,2,1,15,7.0,6,12
Yes,36.0,Travel_Rarely,Research & Development,15,3,Other,3,2,1,0.0,0,0
Yes,26.0,,Research & Development,2,3,Life Sciences,1,2,3,2.0,1,2
No,34.0,Travel_Rarely,Sales,10,4,Life Sciences,3,4,1,,0,0
No,28.0,Travel_Rarely,Sales,10,1,Medical,2,2,1,0.0,0,0
No,,Travel_Frequently,Research & Development,3,4,Other,3,1,2,2.0,2,2
No,50.0,Travel_Rarely,Research & Development,2,4,Medical,3,4,8,1.0,7,7
No,,Travel_Rarely,Research & Development,3,3,Other,2,1,4,3.0,0,1
No,40.0,Travel_Rarely,Sales,26,3,Marketing,1,2,7,7.0,7,5
No,26.0,Travel_Frequently,Research & Development,1,1,Medical,3,3,5,3.0,1,3
No,46.0,Travel_Rarely,Research & Development,1,4,Medical,4,4,2,2.0,2,2
No,54.0,Travel_Rarely,Sales,2,4,Life Sciences,3,2,9,4.0,7,0
No,56.0,Travel_Frequently,Research & Development,9,3,Medical,3,2,5,4.0,0,3
No,36.0,Travel_Rarely,Research & Development,12,5,Medical,4,2,14,8.0,7,8
No,,,Research & Development,2,1,Medical,1,2,9,7.0,6,2
No,43.0,Travel_Rarely,Sales,25,3,Medical,4,3,1,0.0,0,0
Yes,20.0,Travel_Frequently,Sales,9,3,Marketing,4,2,2,2.0,0,2
Yes,21.0,Travel_Rarely,Research & Development,10,3,Life Sciences,1,1,1,0.0,1,0
No,46.0,Travel_Rarely,Research & Development,8,4,Life Sciences,1,1,16,13.0,1,7
Yes,51.0,Travel_Rarely,Research & Development,4,4,Life Sciences,3,3,10,0.0,2,7
Yes,28.0,Non-Travel,Research & Development,24,2,Technical Degree,1,1,10,7.0,1,9
No,26.0,Travel_Rarely,Research & Development,1,2,Medical,1,1,5,3.0,1,3
No,30.0,Travel_Rarely,Research & Development,20,3,Other,1,3,6,2.0,0,2
No,41.0,Travel_Rarely,Research & Development,7,2,Technical Degree,3,3,10,6.0,0,8
No,38.0,Travel_Rarely,Research & Development,17,1,Life Sciences,3,1,19,,1,9
No,40.0,Travel_Rarely,Research & Development,20,4,Technical Degree,4,4,11,10.0,11,1
No,27.0,,Research & Development,8,5,Life Sciences,3,4,3,2.0,1,2
No,55.0,Travel_Frequently,Research & Development,2,1,Life Sciences,2,2,3,2.0,1,2
No,28.0,Travel_Rarely,Research & Development,10,3,Other,3,4,8,7.0,1,7
Yes,,Travel_Rarely,Human Resources,1,2,Medical,1,4,20,6.0,3,6
No,,Travel_Rarely,Research & Development,77,3,Life Sciences,4,3,3,2.0,1,2
Yes,35.0,Travel_Rarely,Sales,4,3,Technical Degree,1,1,8,7.0,4,7
Yes,33.0,Travel_Frequently,Research & Development,29,4,Medical,3,2,13,7.0,3,8
No,,Travel_Rarely,Research & Development,15,2,Life Sciences,3,4,4,2.0,2,2
No,34.0,Travel_Frequently,Research & Development,3,1,Life Sciences,4,3,6,2.0,0,4
No,37.0,Travel_Rarely,Sales,10,4,Life Sciences,4,3,1,0.0,0,0
Yes,25.0,Travel_Rarely,Research & Development,4,1,Technical Degree,4,2,7,7.0,5,6
Yes,26.0,Travel_Rarely,Research & Development,21,3,Medical,3,3,1,1.0,0,0
Yes,,Travel_Rarely,Research & Development,25,3,Medical,2,2,2,2.0,2,2
No,42.0,Travel_Rarely,Research & Development,2,2,Medical,1,4,22,6.0,13,7
Yes,28.0,Travel_Frequently,Research & Development,1,3,Medical,2,1,1,0.0,0,0
Yes,50.0,Travel_Frequently,Sales,1,4,Other,3,4,0,0.0,0,0
No,33.0,Travel_Frequently,Sales,7,3,Life Sciences,2,3,3,2.0,0,2
No,34.0,,Research & Development,3,4,Life Sciences,4,4,0,,0,0
No,48.0,Non-Travel,Research & Development,1,4,Medical,4,3,5,4.0,2,1
No,45.0,Non-Travel,Sales,9,4,Life Sciences,3,4,15,10.0,4,12
No,52.0,Travel_Rarely,Research & Development,7,4,Life Sciences,2,4,8,6.0,4,0
No,38.0,Travel_Rarely,Sales,10,4,Marketing,3,2,8,7.0,2,7
No,29.0,Travel_Rarely,Research & Development,28,4,Life Sciences,4,1,7,5.0,1,7
No,28.0,Travel_Rarely,Research & Development,3,3,Medical,2,2,9,7.0,1,7
No,,,Sales,3,1,Marketing,3,4,12,9.0,4,9
No,38.0,Travel_Rarely,Sales,2,2,Marketing,2,3,1,0.0,0,0
No,,Travel_Frequently,Research & Development,27,3,Life Sciences,1,3,8,7.0,0,1
Yes,39.0,Travel_Frequently,Research & Development,2,3,Life Sciences,4,4,18,7.0,11,5
No,40.0,Travel_Rarely,Research & Development,14,3,Medical,3,1,20,,4,9
No,21.0,Travel_Rarely,Research & Development,1,1,Technical Degree,2,3,2,2.0,2,2
No,39.0,Non-Travel,Research & Development,9,3,Life Sciences,2,3,5,4.0,0,3
No,36.0,Non-Travel,Research & Development,18,4,Life Sciences,4,1,11,,0,9
No,31.0,Travel_Frequently,Sales,20,3,Life Sciences,4,1,2,2.0,2,2
No,28.0,Travel_Rarely,Research & Development,2,1,Life Sciences,2,1,5,3.0,0,4
No,35.0,,Sales,11,2,Marketing,4,4,5,2.0,0,2
No,49.0,Travel_Rarely,Sales,8,4,Technical Degree,2,2,9,8.0,2,3
No,34.0,Travel_Frequently,Research & Development,2,2,Life Sciences,3,4,3,2.0,0,2
No,29.0,,Research & Development,10,3,Life Sciences,2,4,7,5.0,1,1
No,,,Research & Development,29,3,Medical,4,1,1,0.0,0,0
No,29.0,Travel_Rarely,Research & Development,8,1,Medical,4,3,10,7.0,1,2
No,38.0,Travel_Rarely,Human Resources,1,3,Human Resources,3,4,7,6.0,5,0
No,28.0,Travel_Frequently,Research & Development,6,3,Life Sciences,3,4,3,1.0,0,2
Yes,18.0,Non-Travel,Research & Development,8,1,Medical,3,4,0,0.0,0,0
Yes,33.0,Travel_Rarely,Sales,9,4,Marketing,1,1,5,2.0,0,3
No,41.0,Travel_Rarely,Research & Development,12,4,Life Sciences,4,1,1,0.0,0,0
Yes,31.0,,Research & Development,15,3,Medical,3,3,2,2.0,2,2
No,37.0,Travel_Rarely,Research & Development,25,2,Medical,4,3,6,2.0,1,3
No,,Travel_Rarely,Research & Development,6,3,Life Sciences,3,3,4,2.0,2,2
No,34.0,Travel_Rarely,Sales,9,1,Life Sciences,3,1,6,5.0,1,3
No,35.0,Travel_Rarely,Human Resources,8,4,Technical Degree,3,2,5,4.0,1,4
Yes,29.0,Travel_Rarely,Sales,23,1,Life Sciences,1,1,11,8.0,3,10
No,,,Research & Development,9,4,Medical,3,3,18,7.0,2,13
Yes,42.0,Travel_Frequently,Sales,12,3,Life Sciences,1,2,21,9.0,13,14
No,42.0,Travel_Rarely,Sales,4,4,Marketing,1,4,6,4.0,1,5
No,35.0,Travel_Rarely,Research & Development,1,4,Medical,3,2,8,0.0,1,7
No,24.0,Travel_Rarely,Research & Development,24,3,Medical,2,4,4,3.0,1,2
Yes,28.0,Travel_Rarely,Research & Development,12,1,Life Sciences,4,4,1,1.0,0,0
No,26.0,Travel_Rarely,Research & Development,3,4,Medical,4,2,8,7.0,0,7
No,30.0,Travel_Rarely,Sales,10,3,Marketing,3,1,10,3.0,1,4
No,40.0,Travel_Frequently,Research & Development,26,2,Medical,4,4,1,1.0,0,0
No,35.0,Travel_Rarely,Research & Development,2,3,Life Sciences,2,2,7,,6,4
No,34.0,Travel_Frequently,Research & Development,1,3,Medical,1,3,13,9.0,4,9
No,35.0,,Research & Development,4,4,Other,4,2,2,2.0,2,2
Yes,43.0,,Sales,9,3,Marketing,3,2,4,3.0,1,3
No,32.0,Non-Travel,Sales,2,1,Life Sciences,1,3,1,0.0,0,0
No,56.0,Travel_Rarely,Research & Development,4,4,Technical Degree,1,4,5,2.0,4,2
No,29.0,Travel_Rarely,Research & Development,6,1,Medical,4,1,10,8.0,0,8
No,19.0,Travel_Rarely,Research & Development,9,2,Life Sciences,1,3,1,1.0,0,0
No,45.0,Travel_Rarely,Research & Development,7,3,Medical,3,3,3,,0,2
No,37.0,,Research & Development,1,3,Life Sciences,4,2,14,8.0,3,11
No,20.0,Travel_Rarely,Research & Development,3,3,Life Sciences,3,1,2,2.0,1,2
Yes,,Travel_Rarely,Research & Development,10,4,Life Sciences,3,3,6,4.0,0,2
No,53.0,Travel_Rarely,Research & Development,7,2,Medical,3,2,7,7.0,4,7
No,29.0,Travel_Rarely,Research & Development,15,1,Life Sciences,4,1,5,4.0,1,3
Yes,22.0,Travel_Frequently,Research & Development,3,4,Life Sciences,4,2,0,0.0,0,0
No,46.0,Travel_Rarely,Sales,2,3,Marketing,1,1,26,15.0,15,9
No,44.0,Non-Travel,Research & Development,17,3,Life Sciences,3,4,0,0.0,0,0
No,33.0,Travel_Rarely,Human Resources,2,3,Human Resources,3,4,5,4.0,1,4
Yes,,Non-Travel,Research & Development,5,2,Life Sciences,1,1,1,0.0,0,0
No,30.0,Travel_Rarely,Sales,29,4,Life Sciences,1,3,4,3.0,0,3
No,40.0,Travel_Frequently,Sales,2,4,Medical,2,4,0,0.0,0,0
No,50.0,Travel_Frequently,Research & Development,2,3,Medical,1,3,2,2.0,2,2
No,28.0,Travel_Rarely,Research & Development,19,4,Medical,1,3,6,5.0,3,3
No,46.0,Travel_Rarely,Research & Development,15,2,Life Sciences,2,1,4,2.0,0,3
No,35.0,Travel_Rarely,Sales,17,4,Life Sciences,1,4,7,7.0,1,7
Yes,24.0,Travel_Rarely,Research & Development,17,2,Life Sciences,2,1,1,0.0,0,0
No,33.0,Travel_Frequently,Sales,25,3,Medical,3,1,10,7.0,0,1
No,36.0,Travel_Rarely,Research & Development,6,4,Life Sciences,3,3,7,7.0,1,7
No,30.0,Travel_Rarely,Research & Development,7,4,Life Sciences,3,1,10,7.0,8,9
No,44.0,Travel_Rarely,Research & Development,29,4,Other,4,2,20,11.0,13,17
No,20.0,,Sales,21,3,Marketing,4,4,2,1.0,2,2
No,46.0,Travel_Rarely,Research & Development,2,4,Technical Degree,4,3,6,3.0,1,4
No,42.0,Non-Travel,Human Resources,2,5,Medical,1,1,4,3.0,0,3
No,60.0,Travel_Rarely,Sales,7,4,Marketing,4,2,11,7.0,1,9
No,32.0,,Research & Development,13,3,Other,2,3,2,2.0,2,2
No,32.0,Travel_Frequently,Research & Development,2,2,Life Sciences,3,4,8,7.0,0,7
No,36.0,Travel_Rarely,Research & Development,1,3,Technical Degree,1,3,7,7.0,7,7
No,33.0,Travel_Rarely,Research & Development,9,3,Medical,4,2,14,10.0,4,10
No,40.0,Travel_Rarely,Sales,10,3,Technical Degree,2,2,5,1.0,1,3
No,25.0,Travel_Rarely,Sales,10,4,Life Sciences,4,2,4,3.0,1,1
No,30.0,Travel_Rarely,Research & Development,1,3,Medical,2,1,11,9.0,5,7
No,42.0,Travel_Frequently,Research & Development,26,5,Medical,1,3,1,0.0,0,0
No,35.0,Non-Travel,Sales,8,2,Marketing,4,2,13,2.0,4,12
No,27.0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,4,9,7.0,6,8
No,54.0,Travel_Frequently,Research & Development,1,4,Life Sciences,3,1,5,4.0,1,4
No,44.0,Travel_Rarely,Research & Development,2,1,Life Sciences,4,4,10,5.0,7,7
Yes,19.0,Non-Travel,Research & Development,10,3,Medical,2,2,1,1.0,0,0
No,29.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,1,3,2.0,1,2
No,54.0,,Research & Development,3,3,Life Sciences,4,1,10,9.0,0,9
No,31.0,Travel_Rarely,Research & Development,11,2,Medical,1,4,6,5.0,0,1
No,31.0,Travel_Rarely,Research & Development,24,3,Medical,1,2,10,9.0,1,8
No,59.0,Travel_Rarely,Sales,3,3,Life Sciences,4,4,6,,0,5
No,43.0,Travel_Rarely,Research & Development,3,3,Life Sciences,4,2,8,7.0,0,7
No,49.0,Travel_Rarely,Research & Development,4,2,Medical,3,3,1,0.0,0,0
No,36.0,Travel_Frequently,Research & Development,3,3,Technical Degree,2,3,11,10.0,0,7
No,48.0,Travel_Rarely,Research & Development,2,2,Technical Degree,2,3,1,0.0,0,0
No,27.0,Travel_Rarely,Research & Development,4,2,Life Sciences,3,2,5,3.0,0,3
No,29.0,Travel_Rarely,Research & Development,7,3,Life Sciences,4,2,6,0.0,1,0
No,48.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,3,1,0.0,0,0
No,29.0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,2,7,7.0,1,7
No,34.0,Travel_Rarely,Research & Development,20,3,Technical Degree,3,4,1,0.0,0,0
No,44.0,,Sales,5,3,Marketing,2,3,22,9.0,3,10
No,33.0,Travel_Rarely,Sales,10,5,Marketing,3,4,9,8.0,0,8
No,19.0,Travel_Rarely,Research & Development,25,3,Life Sciences,4,4,1,0.0,0,1
No,23.0,Travel_Rarely,Research & Development,1,2,Life Sciences,3,4,1,0.0,0,1
Yes,25.0,,Sales,24,1,Life Sciences,4,4,1,,1,0
No,26.0,Travel_Rarely,Research & Development,4,2,Life Sciences,4,2,8,5.0,2,2
Yes,45.0,Travel_Rarely,Sales,2,3,Marketing,2,1,24,10.0,1,11
No,55.0,Non-Travel,Research & Development,8,1,Medical,2,4,33,9.0,15,0
Yes,21.0,Travel_Frequently,Research & Development,10,2,Life Sciences,3,3,2,2.0,2,2
No,46.0,Travel_Rarely,Sales,4,2,Marketing,2,3,11,4.0,0,8
No,34.0,Travel_Rarely,Sales,2,3,Marketing,1,4,3,2.0,0,2
No,51.0,Travel_Frequently,Sales,9,3,Life Sciences,2,1,29,10.0,11,10
No,59.0,Travel_Rarely,Research & Development,18,4,Medical,4,4,9,7.0,5,4
No,34.0,Travel_Frequently,Research & Development,19,3,Medical,2,3,11,8.0,5,10
No,28.0,Travel_Frequently,Research & Development,1,4,Medical,3,3,4,2.0,0,2
No,44.0,Travel_Rarely,Research & Development,4,2,Life Sciences,1,4,25,9.0,14,13
No,34.0,Travel_Frequently,Human Resources,11,3,Life Sciences,2,4,10,9.0,1,8
No,35.0,Travel_Rarely,Research & Development,6,1,Life Sciences,3,4,3,2.0,2,2
No,42.0,Travel_Rarely,Research & Development,7,4,Medical,2,4,1,,0,0
No,43.0,Travel_Rarely,Sales,4,4,Marketing,4,4,21,7.0,15,17
No,,Travel_Rarely,Research & Development,2,4,Life Sciences,2,4,16,14.0,5,12
Yes,44.0,Travel_Rarely,Research & Development,15,3,Medical,4,4,10,7.0,0,5
No,,Travel_Frequently,Research & Development,2,3,Life Sciences,4,2,2,2.0,2,2
No,51.0,Travel_Frequently,Research & Development,6,2,Medical,3,2,7,0.0,7,7
No,30.0,Non-Travel,Research & Development,9,2,Medical,3,3,8,4.0,1,7
Yes,29.0,Travel_Rarely,Research & Development,7,3,Technical Degree,3,1,7,7.0,7,7
No,28.0,Travel_Rarely,Research & Development,1,3,Technical Degree,1,2,3,2.0,1,2
No,,Travel_Rarely,Research & Development,1,3,Medical,2,4,2,2.0,2,1
No,32.0,Travel_Rarely,Sales,8,3,Medical,4,3,10,7.0,0,8
No,,Travel_Frequently,Research & Development,25,3,Medical,2,3,0,0.0,0,0
No,39.0,Travel_Rarely,Research & Development,13,4,Medical,2,4,19,,15,2
No,58.0,Travel_Rarely,Research & Development,23,4,Life Sciences,3,4,2,2.0,2,2
Yes,32.0,Travel_Rarely,Research & Development,7,2,Life Sciences,3,1,10,4.0,1,1
Yes,39.0,Travel_Rarely,Research & Development,23,3,Medical,1,1,5,2.0,0,3
No,30.0,,Research & Development,6,3,Technical Degree,4,1,9,2.0,6,7
No,36.0,Travel_Rarely,Research & Development,10,4,Technical Degree,3,1,7,7.0,1,7
No,,,Human Resources,1,2,Life Sciences,1,3,7,6.0,5,7
No,28.0,Non-Travel,Research & Development,1,3,Life Sciences,4,1,9,8.0,7,5
No,50.0,Travel_Rarely,Research & Development,28,3,Life Sciences,1,2,3,2.0,1,2
Yes,40.0,Travel_Rarely,Sales,25,4,Marketing,2,3,5,4.0,1,0
Yes,52.0,Travel_Rarely,Sales,5,3,Life Sciences,2,3,8,7.0,7,7
No,30.0,Travel_Rarely,Research & Development,17,4,Medical,1,4,9,1.0,0,8
No,39.0,Travel_Rarely,Research & Development,18,2,Life Sciences,3,1,8,7.0,1,7
No,,Non-Travel,Sales,2,4,Life Sciences,3,1,10,8.0,9,6
No,41.0,,Sales,10,2,Medical,2,1,19,2.0,11,9
Yes,,Travel_Frequently,Sales,1,3,Life Sciences,2,1,3,2.0,2,2
Yes,44.0,Travel_Rarely,Research & Development,3,3,Life Sciences,1,3,3,2.0,1,2
No,42.0,Non-Travel,Research & Development,2,1,Life Sciences,3,4,20,8.0,2,10
No,55.0,Travel_Rarely,Research & Development,2,2,Medical,3,4,19,9.0,9,11
No,56.0,Travel_Rarely,Human Resources,8,4,Life Sciences,2,1,7,3.0,7,7
No,,Non-Travel,Research & Development,16,2,Life Sciences,3,2,4,2.0,0,0
No,34.0,Travel_Rarely,Research & Development,9,3,Life Sciences,4,4,9,7.0,1,6
No,40.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,9,8.0,8,8
No,41.0,Travel_Frequently,Sales,1,3,Marketing,1,4,9,3.0,1,7
No,35.0,Travel_Frequently,Research & Development,4,4,Life Sciences,3,2,9,6.0,1,1
No,51.0,Travel_Rarely,Human Resources,5,3,Life Sciences,2,2,33,9.0,0,10
No,38.0,Travel_Rarely,Sales,2,2,Life Sciences,1,4,7,7.0,1,7
No,34.0,Travel_Rarely,Sales,15,2,Medical,1,4,10,,9,6
No,25.0,Travel_Rarely,Research & Development,19,1,Medical,4,3,3,2.0,1,2
Yes,58.0,,Research & Development,7,4,Medical,1,4,10,9.0,5,9
No,40.0,Travel_Rarely,Research & Development,1,4,Life Sciences,2,3,4,,0,3
No,36.0,Travel_Frequently,Sales,7,3,Marketing,1,4,15,7.0,6,13
No,48.0,Travel_Rarely,Research & Development,4,3,Life Sciences,4,3,10,,0,8
